Method,SeqLen,DupRate,InputType,Error
wqfm-gdl,250,1,Psize 10000000,0.0
wqfm-gdl,250,1,Psize 10000000,0.0
wqfm-gdl,250,1,Psize 10000000,0.0
wqfm-gdl,250,1,Psize 10000000,0.01030927835
wqfm-gdl,250,1,Psize 10000000,0.0
wqfm-gdl,250,1,Psize 10000000,0.0
wqfm-gdl,250,1,Psize 10000000,0.01030927835
wqfm-gdl,250,1,Psize 10000000,0.01030927835
wqfm-gdl,250,1,Psize 50000000,0.0
wqfm-gdl,250,1,Psize 50000000,0.0206185567
wqfm-gdl,250,1,Psize 50000000,0.01030927835
wqfm-gdl,250,1,Psize 50000000,0.01030927835
wqfm-gdl,250,1,Psize 50000000,0.0
wqfm-gdl,250,1,Psize 50000000,0.01030927835
wqfm-gdl,250,1,Psize 50000000,0.0
wqfm-gdl,250,1,Psize 50000000,0.0206185567
wqfm-gdl,250,1,Psize 50000000,0.03092783505
wqfm-gdl,250,1,Psize 50000000,0.0206185567
wqfm-gdl,250,2,Psize 10000000,0.0
wqfm-gdl,250,2,Psize 10000000,0.0
wqfm-gdl,250,2,Psize 10000000,0.01030927835
wqfm-gdl,250,2,Psize 10000000,0.01030927835
wqfm-gdl,250,2,Psize 10000000,0.0
wqfm-gdl,250,2,Psize 10000000,0.01030927835
wqfm-gdl,250,2,Psize 10000000,0.0
wqfm-gdl,250,2,Psize 10000000,0.0
wqfm-gdl,250,2,Psize 10000000,0.0206185567
wqfm-gdl,250,2,Psize 10000000,0.0
wqfm-gdl,250,2,Psize 50000000,0.01030927835
wqfm-gdl,250,2,Psize 50000000,0.0206185567
wqfm-gdl,250,2,Psize 50000000,0.0
wqfm-gdl,250,2,Psize 50000000,0.01030927835
wqfm-gdl,250,2,Psize 50000000,0.01030927835
wqfm-gdl,250,2,Psize 50000000,0.0
wqfm-gdl,250,2,Psize 50000000,0.0
wqfm-gdl,250,2,Psize 50000000,0.0
wqfm-gdl,250,2,Psize 50000000,0.01030927835
wqfm-gdl,250,2,Psize 50000000,0.0
wqfm-gdl,250,5,Psize 10000000,0.0
wqfm-gdl,250,5,Psize 10000000,0.01030927835
wqfm-gdl,250,5,Psize 10000000,0.0206185567
wqfm-gdl,250,5,Psize 10000000,0.0206185567
wqfm-gdl,250,5,Psize 10000000,0.0
wqfm-gdl,250,5,Psize 10000000,0.01030927835
wqfm-gdl,250,5,Psize 10000000,0.01030927835
wqfm-gdl,250,5,Psize 10000000,0.01030927835
wqfm-gdl,250,5,Psize 10000000,0.01030927835
wqfm-gdl,250,5,Psize 10000000,0.0
wqfm-gdl,250,5,Psize 50000000,0.0206185567
wqfm-gdl,250,5,Psize 50000000,0.03092783505
wqfm-gdl,250,5,Psize 50000000,0.03092783505
wqfm-gdl,250,5,Psize 50000000,0.01030927835
wqfm-gdl,250,5,Psize 50000000,0.01030927835
wqfm-gdl,250,5,Psize 50000000,0.01030927835
wqfm-gdl,250,5,Psize 50000000,0.0
wqfm-gdl,250,5,Psize 50000000,0.01030927835
wqfm-gdl,250,5,Psize 50000000,0.01030927835
wqfm-gdl,250,5,Psize 50000000,0.01030927835
wqfm-gdl,250,0.0,Psize 10000000,0.03092783505
wqfm-gdl,250,0.0,Psize 10000000,0.01030927835
wqfm-gdl,250,0.0,Psize 10000000,0.0206185567
wqfm-gdl,250,0.0,Psize 10000000,0.01030927835
wqfm-gdl,250,0.0,Psize 10000000,0.0206185567
wqfm-gdl,250,0.0,Psize 10000000,0.03092783505
wqfm-gdl,250,0.0,Psize 10000000,0.0206185567
wqfm-gdl,250,0.0,Psize 10000000,0.03092783505
wqfm-gdl,250,0.0,Psize 10000000,0.0412371134
wqfm-gdl,250,0.0,Psize 10000000,0.01030927835
wqfm-gdl,250,0.0,Psize 50000000,0.01030927835
wqfm-gdl,250,0.0,Psize 50000000,0.0206185567
wqfm-gdl,250,0.0,Psize 50000000,0.0206185567
wqfm-gdl,250,0.0,Psize 50000000,0.01030927835
wqfm-gdl,250,0.0,Psize 50000000,0.01030927835
wqfm-gdl,250,0.0,Psize 50000000,0.0
wqfm-gdl,250,0.0,Psize 50000000,0.01030927835
wqfm-gdl,250,0.0,Psize 50000000,0.01030927835
wqfm-gdl,250,0.0,Psize 50000000,0.01030927835
wqfm-gdl,250,0.0,Psize 50000000,0.01030927835
wqfm-gdl,50,1,Psize 10000000,0.0206185567
wqfm-gdl,50,1,Psize 10000000,0.01030927835
wqfm-gdl,50,1,Psize 10000000,0.01030927835
wqfm-gdl,50,1,Psize 10000000,0.0206185567
wqfm-gdl,50,1,Psize 10000000,0.01030927835
wqfm-gdl,50,1,Psize 10000000,0.0206185567
wqfm-gdl,50,1,Psize 10000000,0.01030927835
wqfm-gdl,50,1,Psize 10000000,0.01030927835
wqfm-gdl,50,1,Psize 10000000,0.03092783505
wqfm-gdl,50,1,Psize 10000000,0.0206185567
wqfm-gdl,50,1,Psize 50000000,0.03092783505
wqfm-gdl,50,1,Psize 50000000,0.0412371134
wqfm-gdl,50,1,Psize 50000000,0.01030927835
wqfm-gdl,50,1,Psize 50000000,0.01030927835
wqfm-gdl,50,1,Psize 50000000,0.01030927835
wqfm-gdl,50,1,Psize 50000000,0.0618556701
wqfm-gdl,50,1,Psize 50000000,0.0206185567
wqfm-gdl,50,1,Psize 50000000,0.03092783505
wqfm-gdl,50,1,Psize 50000000,0.0412371134
wqfm-gdl,50,1,Psize 50000000,0.0206185567
wqfm-gdl,50,2,Psize 10000000,0.03092783505
wqfm-gdl,50,2,Psize 10000000,0.0
wqfm-gdl,50,2,Psize 10000000,0.01030927835
wqfm-gdl,50,2,Psize 10000000,0.01030927835
wqfm-gdl,50,2,Psize 10000000,0.03092783505
wqfm-gdl,50,2,Psize 10000000,0.01030927835
wqfm-gdl,50,2,Psize 10000000,0.0206185567
wqfm-gdl,50,2,Psize 10000000,0.0412371134
wqfm-gdl,50,2,Psize 10000000,0.0206185567
wqfm-gdl,50,2,Psize 10000000,0.01030927835
wqfm-gdl,50,2,Psize 50000000,0.01030927835
wqfm-gdl,50,2,Psize 50000000,0.03092783505
wqfm-gdl,50,2,Psize 50000000,0.0
wqfm-gdl,50,2,Psize 50000000,0.0206185567
wqfm-gdl,50,2,Psize 50000000,0.0206185567
wqfm-gdl,50,2,Psize 50000000,0.0206185567
wqfm-gdl,50,2,Psize 50000000,0.0206185567
wqfm-gdl,50,2,Psize 50000000,0.0412371134
wqfm-gdl,50,2,Psize 50000000,0.0412371134
wqfm-gdl,50,2,Psize 50000000,0.01030927835
wqfm-gdl,50,5,Psize 10000000,0.0206185567
wqfm-gdl,50,5,Psize 10000000,0.03092783505
wqfm-gdl,50,5,Psize 10000000,0.0618556701
wqfm-gdl,50,5,Psize 10000000,0.0618556701
wqfm-gdl,50,5,Psize 10000000,0.0
wqfm-gdl,50,5,Psize 10000000,0.03092783505
wqfm-gdl,50,5,Psize 10000000,0.01030927835
wqfm-gdl,50,5,Psize 10000000,0.0206185567
wqfm-gdl,50,5,Psize 10000000,0.05154639175
wqfm-gdl,50,5,Psize 10000000,0.0412371134
wqfm-gdl,50,5,Psize 50000000,0.03092783505
wqfm-gdl,50,5,Psize 50000000,0.0618556701
wqfm-gdl,50,5,Psize 50000000,0.07216494845
wqfm-gdl,50,5,Psize 50000000,0.0412371134
wqfm-gdl,50,5,Psize 50000000,0.0412371134
wqfm-gdl,50,5,Psize 50000000,0.0412371134
wqfm-gdl,50,5,Psize 50000000,0.03092783505
wqfm-gdl,50,5,Psize 50000000,0.05154639175
wqfm-gdl,50,5,Psize 50000000,0.0412371134
wqfm-gdl,50,5,Psize 50000000,0.0412371134
wqfm-gdl,50,0.0,Psize 10000000,0.01030927835
wqfm-gdl,50,0.0,Psize 10000000,0.0
wqfm-gdl,50,0.0,Psize 10000000,0.01030927835
wqfm-gdl,50,0.0,Psize 10000000,0.03092783505
wqfm-gdl,50,0.0,Psize 10000000,0.03092783505
wqfm-gdl,50,0.0,Psize 10000000,0.0412371134
wqfm-gdl,50,0.0,Psize 10000000,0.0206185567
wqfm-gdl,50,0.0,Psize 10000000,0.0206185567
wqfm-gdl,50,0.0,Psize 10000000,0.03092783505
wqfm-gdl,50,0.0,Psize 10000000,0.0206185567
wqfm-gdl,50,0.0,Psize 50000000,0.01030927835
wqfm-gdl,50,0.0,Psize 50000000,0.0412371134
wqfm-gdl,50,0.0,Psize 50000000,0.03092783505
wqfm-gdl,50,0.0,Psize 50000000,0.01030927835
wqfm-gdl,50,0.0,Psize 50000000,0.0206185567
wqfm-gdl,50,0.0,Psize 50000000,0.0206185567
wqfm-gdl,50,0.0,Psize 50000000,0.03092783505
wqfm-gdl,50,0.0,Psize 50000000,0.0206185567
wqfm-gdl,50,0.0,Psize 50000000,0.01030927835
wqfm-gdl,50,0.0,Psize 50000000,0.01030927835
wqfm2020,100,1,Psize 10000000,0.01030927835
wqfm2020,100,1,Psize 10000000,0.0
wqfm2020,100,1,Psize 10000000,0.01030927835
wqfm2020,100,1,Psize 10000000,0.01030927835
wqfm2020,100,1,Psize 10000000,0.0
wqfm2020,100,1,Psize 10000000,0.01030927835
wqfm2020,100,1,Psize 10000000,0.01030927835
wqfm2020,100,1,Psize 10000000,0.01030927835
wqfm2020,100,1,Psize 10000000,0.0206185567
wqfm2020,100,1,Psize 10000000,0.01030927835
wqfm2020,100,1,Psize 50000000,0.01030927835
wqfm2020,100,1,Psize 50000000,0.0206185567
wqfm2020,100,1,Psize 50000000,0.01030927835
wqfm2020,100,1,Psize 50000000,0.0
wqfm2020,100,1,Psize 50000000,0.01030927835
wqfm2020,100,1,Psize 50000000,0.0206185567
wqfm2020,100,1,Psize 50000000,0.0206185567
wqfm2020,100,1,Psize 50000000,0.01030927835
wqfm2020,100,1,Psize 50000000,0.0206185567
wqfm2020,100,1,Psize 50000000,0.0206185567
wqfm2020,100,2,Psize 10000000,0.0
wqfm2020,100,2,Psize 10000000,0.0
wqfm2020,100,2,Psize 10000000,0.0
wqfm2020,100,2,Psize 10000000,0.01030927835
wqfm2020,100,2,Psize 10000000,0.01030927835
wqfm2020,100,2,Psize 10000000,0.0
wqfm2020,100,2,Psize 10000000,0.01030927835
wqfm2020,100,2,Psize 10000000,0.0
wqfm2020,100,2,Psize 10000000,0.01030927835
wqfm2020,100,2,Psize 10000000,0.0
wqfm2020,100,2,Psize 50000000,0.0206185567
wqfm2020,100,2,Psize 50000000,0.0206185567
wqfm2020,100,2,Psize 50000000,0.0
wqfm2020,100,2,Psize 50000000,0.01030927835
wqfm2020,100,2,Psize 50000000,0.0206185567
wqfm2020,100,2,Psize 50000000,0.0
wqfm2020,100,2,Psize 50000000,0.0
wqfm2020,100,2,Psize 50000000,0.0412371134
wqfm2020,100,2,Psize 50000000,0.01030927835
wqfm2020,100,2,Psize 50000000,0.01030927835
wqfm2020,100,5,Psize 10000000,0.01030927835
wqfm2020,100,5,Psize 10000000,0.01030927835
wqfm2020,100,5,Psize 10000000,0.01030927835
wqfm2020,100,5,Psize 10000000,0.0206185567
wqfm2020,100,5,Psize 10000000,0.0
wqfm2020,100,5,Psize 10000000,0.0206185567
wqfm2020,100,5,Psize 10000000,0.01030927835
wqfm2020,100,5,Psize 10000000,0.01030927835
wqfm2020,100,5,Psize 10000000,0.01030927835
wqfm2020,100,5,Psize 10000000,0.01030927835
wqfm2020,100,5,Psize 50000000,0.0
wqfm2020,100,5,Psize 50000000,0.05154639175
wqfm2020,100,5,Psize 50000000,0.0618556701
wqfm2020,100,5,Psize 50000000,0.0206185567
wqfm2020,100,5,Psize 50000000,0.0206185567
wqfm2020,100,5,Psize 50000000,0.01030927835
wqfm2020,100,5,Psize 50000000,0.01030927835
wqfm2020,100,5,Psize 50000000,0.01030927835
wqfm2020,100,5,Psize 50000000,0.0206185567
wqfm2020,100,5,Psize 50000000,0.0206185567
wqfm2020,100,0.0,Psize 10000000,0.01030927835
wqfm2020,100,0.0,Psize 10000000,0.0
wqfm2020,100,0.0,Psize 10000000,0.01030927835
wqfm2020,100,0.0,Psize 10000000,0.01030927835
wqfm2020,100,0.0,Psize 10000000,0.01030927835
wqfm2020,100,0.0,Psize 10000000,0.0
wqfm2020,100,0.0,Psize 10000000,0.0206185567
wqfm2020,100,0.0,Psize 10000000,0.0206185567
wqfm2020,100,0.0,Psize 10000000,0.0
wqfm2020,100,0.0,Psize 10000000,0.0
wqfm2020,100,0.0,Psize 50000000,0.0206185567
wqfm2020,100,0.0,Psize 50000000,0.03092783505
wqfm2020,100,0.0,Psize 50000000,0.0206185567
wqfm2020,100,0.0,Psize 50000000,0.0
wqfm2020,100,0.0,Psize 50000000,0.03092783505
wqfm2020,100,0.0,Psize 50000000,0.01030927835
wqfm2020,100,0.0,Psize 50000000,0.01030927835
wqfm2020,100,0.0,Psize 50000000,0.01030927835
wqfm2020,100,0.0,Psize 50000000,0.01030927835
wqfm2020,100,0.0,Psize 50000000,0.01030927835
wqfm-gdl,25,1,Psize 10000000,0.01030927835
wqfm-gdl,25,1,Psize 10000000,0.03092783505
wqfm-gdl,25,1,Psize 10000000,0.0206185567
wqfm-gdl,25,1,Psize 10000000,0.0206185567
wqfm-gdl,25,1,Psize 10000000,0.0206185567
wqfm-gdl,25,1,Psize 10000000,0.03092783505
wqfm-gdl,25,1,Psize 10000000,0.0206185567
wqfm-gdl,25,1,Psize 10000000,0.0412371134
wqfm-gdl,25,1,Psize 10000000,0.0206185567
wqfm-gdl,25,1,Psize 10000000,0.03092783505
wqfm-gdl,25,1,Psize 50000000,0.03092783505
wqfm-gdl,25,1,Psize 50000000,0.0618556701
wqfm-gdl,25,1,Psize 50000000,0.03092783505
wqfm-gdl,25,1,Psize 50000000,0.0412371134
wqfm-gdl,25,1,Psize 50000000,0.0206185567
wqfm-gdl,25,1,Psize 50000000,0.0412371134
wqfm-gdl,25,1,Psize 50000000,0.0206185567
wqfm-gdl,25,1,Psize 50000000,0.03092783505
wqfm-gdl,25,1,Psize 50000000,0.07216494845
wqfm-gdl,25,1,Psize 50000000,0.03092783505
wqfm-gdl,25,2,Psize 10000000,0.0412371134
wqfm-gdl,25,2,Psize 10000000,0.0206185567
wqfm-gdl,25,2,Psize 10000000,0.0206185567
wqfm-gdl,25,2,Psize 10000000,0.0618556701
wqfm-gdl,25,2,Psize 10000000,0.0412371134
wqfm-gdl,25,2,Psize 10000000,0.03092783505
wqfm-gdl,25,2,Psize 10000000,0.0412371134
wqfm-gdl,25,2,Psize 10000000,0.05154639175
wqfm-gdl,25,2,Psize 10000000,0.0412371134
wqfm-gdl,25,2,Psize 10000000,0.0
wqfm-gdl,25,2,Psize 50000000,0.05154639175
wqfm-gdl,25,2,Psize 50000000,0.0412371134
wqfm-gdl,25,2,Psize 50000000,0.01030927835
wqfm-gdl,25,2,Psize 50000000,0.0206185567
wqfm-gdl,25,2,Psize 50000000,0.03092783505
wqfm-gdl,25,2,Psize 50000000,0.03092783505
wqfm-gdl,25,2,Psize 50000000,0.0206185567
wqfm-gdl,25,2,Psize 50000000,0.07216494845
wqfm-gdl,25,2,Psize 50000000,0.05154639175
wqfm-gdl,25,2,Psize 50000000,0.01030927835
wqfm-gdl,25,5,Psize 10000000,0.0618556701
wqfm-gdl,25,5,Psize 10000000,0.05154639175
wqfm-gdl,25,5,Psize 10000000,0.0824742268
wqfm-gdl,25,5,Psize 10000000,0.0412371134
