Method,gt,taxa,dup,ils,loss,Error
apro3,500,200,1.0,25.0,1.0,0.0202020202
apro3,500,200,1.0,25.0,1.0,0.0202020202
apro3,500,200,1.0,25.0,1.0,0.04545454545
apro3,500,200,1.0,25.0,1.0,0.05050505051
apro3,500,200,1.0,25.0,1.0,0.02525252525
apro3,500,200,1.0,25.0,1.0,0.05555555556
apro3,500,200,1.0,25.0,1.0,0.03535353535
apro3,500,200,1.0,25.0,1.0,0.0202020202
apro3,500,200,1.0,25.0,1.0,0.03535353535
apro3,500,200,1.0,25.0,1.0,0.02525252525
apro3,500,200,1.0,25.0,1.0,0.04545454545
apro3,500,200,1.0,25.0,1.0,0.0101010101
apro3,500,200,1.0,25.0,1.0,0.04545454545
apro3,500,200,1.0,70.0,0.1,0.1565656566
apro3,500,200,1.0,70.0,0.1,0.06565656566
apro3,500,200,1.0,70.0,0.1,0.101010101
apro3,500,200,1.0,70.0,0.1,0.03535353535
apro3,500,200,1.0,70.0,0.1,0.1161616162
apro3,500,200,1.0,70.0,0.1,0.0202020202
apro3,500,200,1.0,70.0,0.1,0.05555555556
apro3,500,200,1.0,70.0,0.1,0.05050505051
apro3,500,200,1.0,70.0,0.1,0.04545454545
apro3,500,200,1.0,70.0,0.1,0.07070707071
apro3,500,200,1.0,70.0,0.1,0.0404040404
apro3,500,200,1.0,70.0,0.1,0.03535353535
apro3,500,200,1.0,70.0,0.1,0.04545454545
apro3,500,200,1.0,70.0,0.1,0.06060606061
apro3,500,200,1.0,70.0,0.1,0.06060606061
apro3,500,200,1.0,70.0,0.1,0.04545454545
apro3,500,200,1.0,70.0,0.1,0.06060606061
apro3,500,200,1.0,70.0,0.1,0.0404040404
apro3,500,200,1.0,70.0,0.1,0.04545454545
apro3,500,200,1.0,70.0,0.1,0.05555555556
apro3,500,200,1.0,70.0,1.0,0.1313131313
apro3,500,200,1.0,70.0,1.0,0.1060606061
apro3,500,200,1.0,70.0,1.0,0.07070707071
apro3,500,200,1.0,70.0,1.0,0.06565656566
apro3,500,200,1.0,70.0,1.0,0.07070707071
apro3,500,200,1.0,70.0,1.0,0.09090909091
apro3,500,200,1.0,70.0,1.0,0.06565656566
apro3,500,200,1.0,70.0,1.0,0.06060606061
apro3,500,200,1.0,70.0,1.0,0.1515151515
apro3,500,200,1.0,70.0,1.0,0.03535353535
apro3,500,200,1.0,70.0,1.0,0.1262626263
apro3,500,200,1.0,70.0,1.0,0.06060606061
apro3,500,200,1.0,70.0,1.0,0.06060606061
apro3,500,200,1.0,70.0,1.0,0.07070707071
apro3,500,200,1.0,70.0,1.0,0.07575757576
apro3,500,200,1.0,70.0,1.0,0.1565656566
apro3,500,200,1.0,70.0,1.0,0.1060606061
apro3,500,200,1.0,70.0,1.0,0.05555555556
apro3,500,200,1.0,70.0,1.0,0.05050505051
apro3,500,200,1.0,70.0,1.0,0.05050505051
apro3,500,200,3.0,25.0,1.0,0.07070707071
apro3,500,200,3.0,25.0,1.0,0.0202020202
apro3,500,200,3.0,25.0,1.0,0.05555555556
apro3,500,200,3.0,25.0,1.0,0.0404040404
apro3,500,200,3.0,25.0,1.0,0.03535353535
apro3,500,200,3.0,25.0,1.0,0.0202020202
apro3,500,200,3.0,25.0,1.0,0.0404040404
apro3,500,200,3.0,25.0,1.0,0.0101010101
apro3,500,200,3.0,25.0,1.0,0.03535353535
apro3,500,200,3.0,25.0,1.0,0.0101010101
apro3,500,200,3.0,25.0,1.0,0.0303030303
apro3,500,200,3.0,25.0,1.0,0.06060606061
apro3,500,200,3.0,25.0,1.0,0.04545454545
apro3,500,200,3.0,25.0,1.0,0.05050505051
apro3,500,200,3.0,25.0,1.0,0.04545454545
apro3,500,200,3.0,25.0,1.0,0.02525252525
apro3,500,200,3.0,25.0,1.0,0.0303030303
apro3,500,200,3.0,25.0,1.0,0.08585858586
apro3,500,200,3.0,25.0,1.0,0.03535353535
apro3,500,200,3.0,25.0,1.0,0.0404040404
apro3,500,200,3.0,70.0,0.1,0.1060606061
apro3,500,200,3.0,70.0,0.1,0.06565656566
apro3,500,200,3.0,70.0,0.1,0.05050505051
apro3,500,200,3.0,70.0,0.1,0.07070707071
apro3,500,200,3.0,70.0,0.1,0.07070707071
apro3,500,200,3.0,70.0,0.1,0.07070707071
apro3,500,200,3.0,70.0,0.1,0.1313131313
apro3,500,200,3.0,70.0,0.1,0.05555555556
apro3,500,200,3.0,70.0,0.1,0.05050505051
apro3,500,200,3.0,70.0,0.1,0.04545454545
apro3,500,200,3.0,70.0,0.1,0.0404040404
apro3,500,200,3.0,70.0,0.1,0.01515151515
apro3,500,200,3.0,70.0,0.1,0.04545454545
apro3,500,200,3.0,70.0,0.1,0.03535353535
apro3,500,200,3.0,70.0,0.1,0.05050505051
apro3,500,200,3.0,70.0,0.1,0.05050505051
apro3,500,200,3.0,70.0,0.1,0.04545454545
apro3,500,200,3.0,70.0,0.1,0.05555555556
apro3,500,200,3.0,70.0,0.1,0.0404040404
apro3,500,200,3.0,70.0,0.1,0.06060606061
apro3,500,200,3.0,70.0,1.0,0.1161616162
apro3,500,200,3.0,70.0,1.0,0.06565656566
apro3,500,200,3.0,70.0,1.0,0.05555555556
apro3,500,200,3.0,70.0,1.0,0.05555555556
apro3,500,200,3.0,70.0,1.0,0.06060606061
apro3,500,200,3.0,70.0,1.0,0.06565656566
apro3,500,200,3.0,70.0,1.0,0.07575757576
apro3,500,200,3.0,70.0,1.0,0.101010101
apro3,500,200,3.0,70.0,1.0,0.05555555556
apro3,500,200,3.0,70.0,1.0,0.05555555556
apro3,500,200,3.0,70.0,1.0,0.05050505051
apro3,500,200,3.0,70.0,1.0,0.06565656566
apro3,500,200,3.0,70.0,1.0,0.05555555556
apro3,500,200,3.0,70.0,1.0,0.03535353535
apro3,500,200,3.0,70.0,1.0,0.04545454545
